StartTime,EndTime,Asset,AcknowledgedBy,AcknowledgedDate,AreValuesCaptured,BearingATemperature,BearingBTemperature,CanBeAcknowledged,GearboxTemperature,Generator1Temperature,Generator2Temperature,HasChildren,InProblem,IsAcknowledged,IsAnnotated,IsLocked,NacelleTemperature,OverheatedTemperatures,Path,Reason,Severity,TemplateName,TowerBase1Temperature,TurbineName
2024-01-08T14:28:47.330841Z,2024-01-09T08:27:09.0554046Z,server.windtopia.ext_db925a85-0e35-11eb-9383-f48c50815f37,,1970-01-01T00:00:00Z,TRUE,,51.47715759277344,TRUE,61.81682586669922,101.45602416992188,102.86934661865234,FALSE,Bearing A,FALSE,FALSE,FALSE,24.789852142333984,Bearing B Temperature Generator 1 Temperature,\\DFPIAFSERVERPRD\Power Generation\EventFrames[HighTurbineTemp_GE07_2024-01-05 23:42:15.756]\HighTurbineTemp_GE07_2024-01-08 06:28:47.330,,Warning,Windtopia High Turbine Temperature,0,GE07
2024-01-08T11:26:03.1035003Z,2024-01-09T08:35:34.0112762Z,server.windtopia.ext_b4873d35-0e35-11eb-9383-f48c50815f37,,1970-01-01T00:00:00Z,TRUE,37.63069152832031,63.43572235107422,TRUE,61.476043701171875,72.95964050292969,72.03517150878906,TRUE,Bearing B,FALSE,FALSE,FALSE,26.69390296936035,,\\DFPIAFSERVERPRD\Power Generation\EventFrames[HighTurbineTemp_GE01_2024-01-08 03:26:03.103],,None,Windtopia High Turbine Temperature,0,GE01
2024-01-09T10:51:13.0204924Z,2024-01-09T11:01:13.0204925Z,server.windtopia.ext_b4873d35-0e35-11eb-9383-f48c50815f37,,1970-01-01T00:00:00Z,TRUE,36.67445755004883,59.002777099609375,FALSE,61.698360443115234,72.77436065673828,71.53279876708984,FALSE,Bearing B,FALSE,FALSE,FALSE,26.686664581298828,Generator 1 Temperature,\\DFPIAFSERVERPRD\Power Generation\EventFrames[HighTurbineTemp_GE01_2024-01-09 03:01:13.020]\Root Cause,,None,Windtopia High Turbine Temperature,0,GE01
2024-01-09T11:01:13.0204925Z,2024-01-09T11:05:52.5156097Z,server.windtopia.ext_b4873d35-0e35-11eb-9383-f48c50815f37,,1970-01-01T00:00:00Z,TRUE,36.526119232177734,58.887081146240234,TRUE,61.698360443115234,72.98997497558594,71.71415710449219,TRUE,Bearing B,FALSE,FALSE,FALSE,26.600549697875977,,\\DFPIAFSERVERPRD\Power Generation\EventFrames[HighTurbineTemp_GE01_2024-01-09 03:01:13.020],,None,Windtopia High Turbine Temperature,0,GE01
2024-01-06T07:42:15.7691955Z,2024-01-09T14:46:45.8383314Z,server.windtopia.ext_f16d21ed-0e35-11eb-9383-f48c50815f37,,1970-01-01T00:00:00Z,TRUE,27.630231857299805,28.819841384887695,TRUE,60,50.2259407,49.86959457397461,TRUE,Bearing B,FALSE,TRUE,FALSE,15.236531257629396,,\\DFPIAFSERVERPRD\Power Generation\EventFrames[HighTurbineTemp_GE09_2024-01-05 23:42:15.769],,None,Windtopia High Turbine Temperature,0,GE09
2024-01-06T07:42:15.7689971Z,2024-01-09T14:46:51.6884429Z,server.windtopia.ext_e99069a1-0e35-11eb-9383-f48c50815f37,,1970-01-01T00:00:00Z,TRUE,29.05511474609375,35.93370056152344,TRUE,61.86787796020508,48.33765793,49.62431716918945,TRUE,Bearing B,FALSE,TRUE,FALSE,15.418825149536133,,\\DFPIAFSERVERPRD\Power Generation\EventFrames[HighTurbineTemp_GE08_2024-01-05 23:42:15.768],,None,Windtopia High Turbine Temperature,0,GE08
2024-01-09T14:46:10.08844Z,2024-01-09T14:56:10.0884399Z,server.windtopia.ext_f16d21ed-0e35-11eb-9383-f48c50815f37,,1970-01-01T00:00:00Z,TRUE,29.128305435180664,31.628433227539062,FALSE,62.12187194824219,50.23356628417969,52.43363571166992,FALSE,Bearing B,FALSE,FALSE,FALSE,16.438373565673828,Bearing B Temperature,\\DFPIAFSERVERPRD\Power Generation\EventFrames[HighTurbineTemp_GE09_2024-01-09 06:56:10.088]\Root Cause,,None,Windtopia High Turbine Temperature,0,GE09
2024-01-09T14:54:39.2881314Z,2024-01-09T15:04:39.2881317Z,server.windtopia.ext_e99069a1-0e35-11eb-9383-f48c50815f37,,1970-01-01T00:00:00Z,TRUE,31.001596450805664,37.68257522583008,FALSE,61.16743850708008,52.440338134765625,51.32689285,FALSE,Bearing B,FALSE,FALSE,FALSE,16.42822838,Bearing B Temperature,\\DFPIAFSERVERPRD\Power Generation\EventFrames[HighTurbineTemp_GE08_2024-01-09 07:04:39.288]\Root Cause,,None,Windtopia High Turbine Temperature,0,GE08
2024-01-10T01:41:29.4736478Z,2024-01-10T01:51:29.473648Z,server.windtopia.ext_b4873d35-0e35-11eb-9383-f48c50815f37,,1970-01-01T00:00:00Z,TRUE,32.30720138549805,56.488555908203125,FALSE,61.698360443115234,72.14232635498047,72.26116943359375,FALSE,Bearing B,FALSE,FALSE,FALSE,24.009889602661133,Generator 1 Temperature,\\DFPIAFSERVERPRD\Power Generation\EventFrames[HighTurbineTemp_GE01_2024-01-09 17:51:29.473]\Root Cause,,None,Windtopia High Turbine Temperature,0,GE01
2024-01-10T01:51:29.473648Z,2024-01-10T06:32:49.8820495Z,server.windtopia.ext_b4873d35-0e35-11eb-9383-f48c50815f37,OSI\chegardt,2024-01-10T17:51:18.5254854Z,TRUE,32.53654479980469,56.91981125,TRUE,59.44945526123047,73.04283905029297,72.89212036132812,TRUE,Bearing B,TRUE,FALSE,FALSE,24.009889602661133,,\\DFPIAFSERVERPRD\Power Generation\EventFrames[HighTurbineTemp_GE01_2024-01-09 17:51:29.473],Debris,None,Windtopia High Turbine Temperature,0,GE01
