StartTime,EndTime,Asset,AcknowledgedBy,AcknowledgedDate,ActivePower,ActivePower10minrollingavg,AreValuesCaptured,AveragePrice,AverageWindSpeed,CanBeAcknowledged,ExpectedPower,ExpectedPower10minrollingavg,HasChildren,IsAcknowledged,IsAnnotated,IsLocked,Manufacturer,OperatingState,Path,PowerRated,Price,RevenueDelta,Severity,TemplateName,TotalRevenueLoss,Turbine,WindFarm,WindSpeed
2024-01-09T08:03:00Z,2024-01-09T09:56:00Z,server.windtopia.ext_b4873d35-0e35-11eb-9383-f48c50815f37,,1970-01-01T00:00:00Z,931.842041,698.3067709165878,TRUE,33.60302530715705,6.486277666385361,FALSE,836.7293441151751,836.7218877731242,FALSE,FALSE,FALSE,FALSE,Truvale,Load Operation,\\DFPIAFSERVERPRD\Power Generation\EventFrames[Low Productionl_GE01 2024-01-09 00:03:00],1500,32.67530519617249,-4.393751702,None,Windtopia Low Production,-7.993053264,GE01,Big Buffalo Wind Farm,9.554587364196776
2024-01-09T12:16:00Z,2024-01-09T12:40:00Z,server.windtopia.ext_b4873d35-0e35-11eb-9383-f48c50815f37,,1970-01-01T00:00:00Z,875.4442189084693,637.5662931678058,TRUE,30.36821351795919,8.36804313,FALSE,728.3851435433735,728.3446374723026,FALSE,FALSE,FALSE,FALSE,Truvale,Load Operation,\\DFPIAFSERVERPRD\Power Generation\EventFrames[Low Productionl_GE01 2024-01-09 04:16:00],1500,30.01931826,-4.828141618,None,Windtopia Low Production,-1.918542796,GE01,Big Buffalo Wind Farm,8.675394058227539
2024-01-09T13:17:00Z,2024-01-09T14:03:00Z,server.windtopia.ext_b4873d35-0e35-11eb-9383-f48c50815f37,,1970-01-01T00:00:00Z,824.8010923840629,503.8869168,TRUE,28.413844716425615,6.968474566602676,FALSE,673.5524078881325,673.4951754298135,FALSE,FALSE,FALSE,FALSE,Truvale,Load Operation,\\DFPIAFSERVERPRD\Power Generation\EventFrames[Low Productionl_GE01 2024-01-09 05:17:00],1500,28.00409868452558,-5.047985295,None,Windtopia Low Production,-3.823416315,GE01,Big Buffalo Wind Farm,9.431875228881836
2024-01-10T00:15:00Z,2024-01-10T00:40:00Z,server.windtopia.ext_b4873d35-0e35-11eb-9383-f48c50815f37,,1970-01-01T00:00:00Z,631.2601318359375,1303.7163635375605,TRUE,22.227091587368825,11.11728926176376,FALSE,422.41860852465106,1421.961485767195,FALSE,FALSE,FALSE,FALSE,Truvale,Load Operation,\\DFPIAFSERVERPRD\Power Generation\EventFrames[Low Productionl_GE01 2024-01-09 16:15:00],1500,22.47131284607781,4.692943205579369,None,Windtopia Low Production,-1.293667413,GE01,Big Buffalo Wind Farm,7.478595733642578
2024-01-10T04:39:00Z,2024-01-10T05:56:00Z,server.windtopia.ext_b4873d35-0e35-11eb-9383-f48c50815f37,,1970-01-01T00:00:00Z,844.5429204975347,-5.281839775,TRUE,19.72952720614337,9.133870926,FALSE,1319.0224121058811,678.6426219624773,FALSE,FALSE,FALSE,FALSE,Truvale,Idling Mode,\\DFPIAFSERVERPRD\Power Generation\EventFrames[Low Productionl_GE01 2024-01-09 20:39:00],1500,22.59530724799912,-12.49345154,None,Windtopia Low Production,-21.2514245,GE01,Big Buffalo Wind Farm,10.792439460754396
2024-01-10T07:56:00Z,2024-01-10T11:24:00Z,server.windtopia.ext_b4873d35-0e35-11eb-9383-f48c50815f37,,1970-01-01T00:00:00Z,76.21278235595776,94.98497133345806,TRUE,32.16795047841089,2.0356564624306297,FALSE,13.349216080450413,51.356525272681715,FALSE,FALSE,FALSE,FALSE,Truvale,Load Operation,\\DFPIAFSERVERPRD\Power Generation\EventFrames[Low Productionl_GE01 2024-01-09 23:56:00],1500,30.534100123638577,1.5181489775564725,None,Windtopia Low Production,-0.564758131,GE01,Big Buffalo Wind Farm,3.589017868041992
2024-01-10T18:48:00Z,2024-01-10T19:31:00Z,server.windtopia.ext_b4873d35-0e35-11eb-9383-f48c50815f37,,1970-01-01T00:00:00Z,61.97620779676278,51.41328258601634,TRUE,50.461270003532306,3.9372611038297545,FALSE,80.71445956300818,72.79267167803363,FALSE,FALSE,FALSE,FALSE,Truvale,Load Operation,\\DFPIAFSERVERPRD\Power Generation\EventFrames[Low Productionl_GE01 2024-01-10 10:48:00],1500,49.148201395253594,-0.920043311,None,Windtopia Low Production,,GE01,Big Buffalo Wind Farm,4.514887333
2024-01-10T19:36:00Z,2024-01-10T22:17:00Z,server.windtopia.ext_b4873d35-0e35-11eb-9383-f48c50815f37,,1970-01-01T00:00:00Z,123.65779113769533,130.03066468557608,TRUE,39.90139009113826,3.0338678564955623,FALSE,88.64478369599715,150.00026117665016,FALSE,FALSE,FALSE,FALSE,Truvale,Load Operation,\\DFPIAFSERVERPRD\Power Generation\EventFrames[Low Productionl_GE01 2024-01-10 11:36:00],1500,32.28691857367622,1.130462120289628,None,Windtopia Low Production,,GE01,Big Buffalo Wind Farm,4.623095989227295
2024-01-10T22:41:00Z,2024-01-10T23:03:00Z,server.windtopia.ext_b4873d35-0e35-11eb-9383-f48c50815f37,,1970-01-01T00:00:00Z,213.3002166748047,144.95231783286832,TRUE,30.87874230512913,5.472438181218397,FALSE,181.84436601311427,149.6162956215316,FALSE,FALSE,FALSE,FALSE,Truvale,Load Operation,\\DFPIAFSERVERPRD\Power Generation\EventFrames[Low Productionl_GE01 2024-01-10 14:41:00],1500,30.59611166530185,0.9624267193721392,None,Windtopia Low Production,-0.131609293,GE01,Big Buffalo Wind Farm,5.636937141418457
2024-01-10T23:53:00Z,2024-01-11T02:04:00Z,server.windtopia.ext_b4873d35-0e35-11eb-9383-f48c50815f37,,1970-01-01T00:00:00Z,1064.2640380859375,1010.1109536685516,TRUE,29.216182673361025,10.584936888781847,FALSE,958.1895492594632,1192.9978411569168,FALSE,FALSE,FALSE,FALSE,Truvale,Load Operation,\\DFPIAFSERVERPRD\Power Generation\EventFrames[Low Productionl_GE01 2024-01-10 15:53:00],1500,28.442210064697264,3.016992893707968,None,Windtopia Low Production,-18.0756931,GE01,Big Buffalo Wind Farm,9.360423088
2024-01-11T02:19:00Z,2024-01-11T02:47:00Z,server.windtopia.ext_b4873d35-0e35-11eb-9383-f48c50815f37,,1970-01-01T00:00:00Z,920.9598726472386,1136.4199141478375,TRUE,27.571159196368946,10.348328366931929,FALSE,888.3677024494136,1320.111335250706,FALSE,FALSE,FALSE,FALSE,Truvale,Load Operation,\\DFPIAFSERVERPRD\Power Generation\EventFrames[Low Productionl_GE01 2024-01-10 18:19:00],1500,27.565762327067056,4.6006516411046015,None,Windtopia Low Production,-2.189721259,GE01,Big Buffalo Wind Farm,9.43051815
2024-01-11T04:47:00Z,2024-01-11T05:15:00Z,server.windtopia.ext_b4873d35-0e35-11eb-9383-f48c50815f37,,1970-01-01T00:00:00Z,1182.4450531687369,1144.5810806760826,TRUE,28.07041777818468,11.98442710950062,FALSE,1199.4784011179563,1314.1225791384134,FALSE,FALSE,FALSE,FALSE,Truvale,Load Operation,\\DFPIAFSERVERPRD\Power Generation\EventFrames[Low Productionl_GE01 2024-01-10 20:47:00],1500,28.07041777818468,-0.478133193,None,Windtopia Low Production,,GE01,Big Buffalo Wind Farm,10.211353302001951
2024-01-11T09:11:00Z,2024-01-11T09:34:00Z,server.windtopia.ext_b4873d35-0e35-11eb-9383-f48c50815f37,,1970-01-01T00:00:00Z,1173.0261821396468,1121.1229029271497,TRUE,48.67987413769356,9.505767519952716,FALSE,1125.845571761177,1231.8928716404698,FALSE,FALSE,FALSE,FALSE,Truvale,Load Operation,\\DFPIAFSERVERPRD\Power Generation\EventFrames[Low Productionl_GE01 2024-01-11 01:11:00],1500,48.57582479960123,2.291837063682782,None,Windtopia Low Production,-2.290217787,GE01,Big Buffalo Wind Farm,9.943189621
2024-01-11T10:23:00Z,2024-01-11T10:48:00Z,server.windtopia.ext_b4873d35-0e35-11eb-9383-f48c50815f37,,1970-01-01T00:00:00Z,1493.1064672601642,1435.676547482812,TRUE,46.89547690817191,12.19644373113337,FALSE,1003.4481849102632,1467.0189369104205,FALSE,FALSE,FALSE,FALSE,Truvale,Load Operation,\\DFPIAFSERVERPRD\Power Generation\EventFrames[Low Productionl_GE01 2024-01-11 02:23:00],1500,46.667860664410064,-12.17333613,None,Windtopia Low Production,-1.036405202,GE01,Big Buffalo Wind Farm,13.48073673248291
2024-01-11T11:11:00Z,2024-01-11T11:41:00Z,server.windtopia.ext_b4873d35-0e35-11eb-9383-f48c50815f37,,1970-01-01T00:00:00Z,477.2874755859375,830.2181065523994,TRUE,45.98930486961136,10.181588304111065,FALSE,403.19825229099206,1066.6059495187576,FALSE,FALSE,FALSE,FALSE,Truvale,Load Operation,\\DFPIAFSERVERPRD\Power Generation\EventFrames[Low Productionl_GE01 2024-01-11 03:11:00],1500,45.94393043823242,3.4039501212856424,None,Windtopia Low Production,-4.831519867,GE01,Big Buffalo Wind Farm,7.229151248931885
2024-01-11T17:27:00Z,2024-01-11T17:48:00Z,server.windtopia.ext_b4873d35-0e35-11eb-9383-f48c50815f37,,1970-01-01T00:00:00Z,1498.1845825719486,1491.6345044514917,TRUE,44.34461267956424,13.15727085,FALSE,1496.4234575013716,1497.149943799274,FALSE,FALSE,FALSE,FALSE,Truvale,Load Operation,\\DFPIAFSERVERPRD\Power Generation\EventFrames[Low Productionl_GE01 2024-01-11 09:27:00],1500,47.36645619641332,0.085062247,None,Windtopia Low Production,-0.166178223,GE01,Big Buffalo Wind Farm,13.109209060668944
